Symbol,Below_VWAP
ACLBSL,0
ADBL,157
ADBLD83,0
AHL,42
AHPC,179
AKJCL,223
AKPL,253
ALBSL,0
ALICL,51
ANLB,0
API,213
AVYAN,1
BARUN,122
BBC,0
BEDC,33
BFC,43
BGWT,32
BHCL,877
BHDC,121
BHL,348
BHPL,41
BNHC,42
BNT,0
BPCL,254
C30MF,4
CBBL,0
CCBD88,0
CFCL,27
CGH,34
CHCL,92
CHDC,0
CHL,65
CIT,0
CITY,50
CIZBD86,0
CIZBD90,0
CKHL,40
CLI,127
CMF2,0
CORBL,0
CREST,0
CYCL,0
CZBIL,112
DDBL,49
DHPL,34
DLBS,0
DOLTI,42
DORDI,212
EBL,221
EBLD86,0
EBLD91,0
EDBL,30
EHPL,22
ENL,14
FMDBL,108
FOWAD,0
GBBD85,0
GBBL,111
GBILD84/85,0
GBIME,186
GBIMESY2,3
GBLBS,51
GCIL,125
GFCL,65
GHL,115
GIBF1,14
GILB,0
GLBSL,0
GLH,130
GMFBS,0
GMFIL,29
GMLI,0
GRDBL,188
GSY,17
GUFL,29
GVL,143
GWFD83,0
H8020,13
HATHY,211
HBL,2563
HDHPC,249
HDL,0
HEI,32
HEIP,2
HHL,97
HIDCL,253
HIDCLP,186
HIMSTAR,4
HLBSL,23
HLI,184
HPPL,137
HRL,769
HURJA,117
ICFC,81
ICFCD88,0
IGI,74
IHL,21
ILBS,0
ILI,125
JBBL,95
JBLB,0
JFL,38
JOSHI,51
JSLBB,0
KBL,483
KBSH,0
KDBY,8
KDL,35
KEF,4
KKHC,63
KMCDB,0
KPCL,99
KSBBL,241
KSY,3
LBBL,194
LBLD86,0
LEC,301
LICN,60
LLBS,23
LSL,105
LUK,7
LVF2,3
MAKAR,34
MANDU,18
MATRI,3
MBJC,84
MBL,108
MBLEF,9
MCHL,26
MDB,109
MEHL,95
MEL,97
MEN,143
MERO,29
MFIL,57
MFLD85,0
MHCL,45
MHL,89
MHNL,42
MKCL,0
MKHC,65
MKHL,29
MKJC,406
MLBBL,0
MLBL,87
MLBS,0
MLBSL,0
MMF1,73
MMKJL,31
MNBBL,175
MNMF1,5
MPFL,20
MSHL,35
MSLB,0
NABBC,23
NABIL,290
NABILD87,0
NADEP,25
NBF2,8
NBF3,27
NBL,147
NBLD82,0
NBLD85,0
NBLD87,0
NCCD86,0
NESDO,0
NFS,84
NGPL,441
NHDL,22
NHPC,151
NIBLGF,4
NIBLSTF,7
NIBSF2,6
NICA,125
NICAD8283,0
NICBF,0
NICFC,8
NICGF2,9
NICL,30
NICLBSL,52
NICSF,7
NIFRA,341
NIFRAGED,2
NIL,79
NIMB,155
NIMBPO,4
NLG,124
NLIC,108
NLICL,56
NMB,76
NMB50,4
NMBHF2,22
NMBMF,7
NMFBS,0
NMIC,0
NMLBBL,37
NRIC,0
NRM,323
NRN,0
NSIF2,10
NTC,181
NUBL,23
NWCL,27
NYADI,51
OHL,71
OMPL,0
PBD85,0
PBD88,0
PCBL,113
PFL,45
PHCL,61
PMHPL,141
PMLI,69
PPCL,44
PPL,100
PRIN,45
PROFL,28
PRSF,3
PRVU,231
PSF,13
PURE,121
RADHI,145
RAWA,18
RBBD2088,0
RBCL,0
RBCLPO,0
RFPL,66
RHGCL,66
RHPL,81
RIDI,89
RLFL,59
RMF1,7
RMF2,4
RNLI,146
RSDC,44
RSY,6
RURU,54
SADBL,102
SAGF,6
SAHAS,340
SALICO,29
SAMAJ,0
SANIMA,245
SANVI,311
SAPDBL,116
SARBTM,149
SBCF,4
SBD89,0
SBI,73
SBID89,0
SBL,82
SCB,79
SCBD,0
SDBD87,0
SEF,2
SFCL,34
SFEF,3
SFMF,0
SGHC,39
SGIC,65
SHEL,520
SHINE,66
SHIVM,457
SHL,52
SHLB,0
SHPC,165
SICL,39
SIFC,47
SIGS2,6
SIGS3,13
SIKLES,57
SINDU,85
SJCL,37
SJLIC,55
SKBBL,158
SLBBL,55
SLBSL,0
SLCF,8
SMATA,183
SMB,0
SMFBS,0
SMH,19
SMHL,61
SMJC,82
SMPDA,35
SNLI,133
SONA,162
SPC,47
SPDL,286
SPHL,58
SPIL,26
SPL,12
SRLI,108
SSHL,113
STC,0
SWBBL,40
SWMF,13
TAMOR,102
TPC,28
TRH,18
TSHL,29
TTL,454
TVCL,30
UAIL,65
UHEWA,66
ULBSL,0
ULHC,51
UMHL,163
UMRH,34
UNHPL,836
UNL,0
UNLB,0
UPCL,885
UPPER,266
USHEC,67
USHL,31
USLB,0
VLBS,24
VLUCL,24
WNLB,0
